[ BONDS ]
  CH2E   CH3E    1.512    1.472    1.552
    CA     HA    0.999    0.959    1.039
  CRHH    HAR    0.999    0.959    1.039
    CF   CR1E    1.389    1.349    1.429
  CH1E    OH1    1.433    1.393    1.473
     C      O    1.237    1.197    1.277
    CW   CR1W    1.395    1.355    1.435
  CR1H    NH1    1.373    1.333    1.413
    CA      C    1.524    1.484    1.564
   OH1      H    0.999    0.959    1.039
    C5    NHS    1.378    1.338    1.418
    CA   CH3E    1.523    1.483    1.563
  CH1E     H0    0.999    0.959    1.039
  CH2E     SM    1.800    1.760    1.840
   C5W   CR1E    1.435    1.395    1.475
     C    NH2    1.320    1.280    1.360
     S     H0    0.999    0.959    1.039
   NHS   CRHH    1.324    1.284    1.364
  CH2E    OH1    1.415    1.375    1.455
    CA   CH2P    1.534    1.494    1.574
  CR1E    CY2    1.379    1.339    1.419
  CH1E   CH3E    1.522    1.482    1.562
  CH2E   CH2E    1.516    1.476    1.556
  CH2E   CDR    1.518    1.478    1.558
     C     OC    1.257    1.217    1.297
    CW    NH1    1.371    1.331    1.411
    C5   CR1H    1.355    1.315    1.395
   NH3     HC    0.999    0.959    1.039
   NH1   CH2G    1.451    1.411    1.491
   NC2     HC    0.999    0.959    1.039
   NH1      H    0.999    0.959    1.039
  CR1E    HAR    0.999    0.959    1.039
     S      S    2.044    2.004    2.084
    CA   CH2E    1.532    1.492    1.572
  CR1E   CR1E    1.385    1.345    1.425
  CH2E     C5    1.491    1.451    1.531
   NH2      H    0.999    0.959    1.039
    SM   CH3E    1.784    1.744    1.824
    C5    NH1    1.377    1.337    1.417
  CRHH    NH1    1.328    1.288    1.368
     C    NC2    1.329    1.289    1.369
  CH1E   CH2E    1.529    1.489    1.569
  CH2P     H0    0.999    0.959    1.039
  CR1W    HAR    0.999    0.959    1.039
  CH2E     CY    1.511    1.471    1.551
  CDR   HDR    0.999    0.959    1.039
  CH2E    C5W    1.498    1.458    1.538
  CH2E    NH3    1.489    1.449    1.529
  CR1W   CR1W    1.371    1.331    1.411
  CH2P   CH2P    1.502    1.462    1.542
  CR1H    HAR    0.999    0.959    1.039
  CH3E     H0    0.999    0.959    1.039
   NH1     CA    1.459    1.419    1.499
   NH1   CH2P    1.478    1.438    1.518
    CA   CH1E    1.540    1.500    1.580
  CR1E     CW    1.412    1.372    1.452
  CH2G     HA    0.999    0.959    1.039
  CR1H    NHS    1.377    1.337    1.417
   CY2    OH1    1.377    1.337    1.417
  CH2E     CF    1.514    1.474    1.554
  CH2E      C    1.512    1.472    1.552
   C5W     CW    1.367    1.327    1.407
  CH2E      S    1.808    1.768    1.849
    CY   CR1E    1.388    1.348    1.428
   NH1     HC    0.999    0.959    1.039
    CW    HAR    0.999    0.959    1.039
  CH2E     H0    0.999    0.959    1.039
  CDR    NH1    1.456    1.416    1.496
     C    NH1    1.332    1.292    1.372
  CR1E   CR1W    1.399    1.359    1.439
  CH2G      C    1.515    1.475    1.555
[ ANGLES ]
   NH1     CA   CH2P    2.357    2.157    2.557  103.203    9.000
     H    NH1   CH2G    2.126    1.926    2.326  118.993    9.000
  CH3E     CA      C    2.499    2.299    2.699  109.981    9.000
    CA   CH2E      S    2.802    2.602    3.002  113.804    9.000
    H0   CH2E    OH1    1.961    1.761    2.161  107.199    9.000
  CH2E      S      S    3.027    2.827    3.227  103.382    9.000
   C5W     CW    NH1    2.249    2.049    2.449  110.245    9.000
   HAR   CR1E   CR1W    2.081    1.881    2.281  119.163    9.000
     O      C    NH2    2.243    2.043    2.443  122.290    9.000
     H    NH2      H    1.731    1.531    1.931  119.734    9.000
   NH1     CA   CH2E    2.457    2.256    2.657  110.258    9.000
    H0   CH2E     CY    2.054    1.854    2.254  107.783    9.000
   NH1     CA      C    2.454    2.254    2.655  110.565    9.000
  CH1E   CH2E     H0    2.071    1.871    2.271  107.917    9.000
    HA     CA   CH2P    2.150    1.950    2.350  114.385    9.000
  CH2P   CH2P     H0    2.080    1.880    2.280  110.543    9.000
   HAR     CW    NH1    2.107    1.907    2.307  124.506    9.000
  CH2E   CH1E   CH3E    2.519    2.319    2.719  111.070    9.000
    HA     CA   CH2E    2.096    1.896    2.296  109.977    9.000
    CA   CH2E     CY    2.550    2.350    2.750  113.455    9.000
    CY   CR1E    HAR    2.069    1.869    2.269  118.969    9.000
   NH1      C    NC2    2.290    2.090    2.490  119.098    9.000
  CH2E   CH2E    NH3    2.479    2.279    2.679  111.465    9.000
  CR1H    NH1   CRHH    2.181    1.981    2.381  107.509    9.000
   NH1     C5   CR1H    2.186    1.986    2.386  106.097    9.000
    H0   CH2E   CH3E    2.054    1.854    2.254  107.710    9.000
  CH2E   CH2E     SM    2.774    2.574    2.974  113.095    9.000
  CH2E   CH2E      C    2.538    2.338    2.738  113.829    9.000
   NH1     CA   CH3E    2.447    2.247    2.647  110.106    9.000
  CH2E     C5    NHS    2.517    2.317    2.717  122.511    9.000
    H0   CH2E     CF    2.057    1.857    2.257  107.815    9.000
    H0   CH2E    C5W    2.040    1.840    2.240  107.602    9.000
    C5    NHS   CRHH    2.184    1.984    2.384  107.647    9.000
  CH2E   CH2E     H0    2.062    1.862    2.262  108.159    9.000
    SM   CH3E     H0    2.317    2.117    2.517  109.032    9.000
    HA   CH2G      C    2.074    1.874    2.274  109.218    9.000
    HA     CA   CH3E    2.089    1.889    2.289  109.904    9.000
  CH1E   CH3E     H0    2.080    1.880    2.280  109.017    9.000
  CR1E   CR1E   CR1E    2.393    2.193    2.594  119.534    9.000
    CA   CH2E     CF    2.553    2.353    2.753  113.499    9.000
   NH1   CH2G     HA    1.994    1.794    2.194  107.312    9.000
  CDR    NH1      H    2.106    1.906    2.306  116.844    9.000
   NHS   CRHH    HAR    2.067    1.867    2.267  124.848    9.000
  CH2E    C5W   CR1E    2.622    2.422    2.822  126.463    9.000
  CR1W   CR1W   CR1E    2.417    2.217    2.618  121.241    9.000
